Delta,Latency,Num_of_topics
0.101,0.24817466735839844,11
0.098,0.21672940254211426,11
0.101,0.31775784492492676,11
0.099,0.2948791980743408,11
0.1,0.28116846084594727,11
0.1,0.2644639015197754,11
0.1,0.280627965927124,11
0.101,0.34061598777770996,11
0.099,0.2741222381591797,11
0.101,0.2755703926086426,11
0.099,0.21440887451171875,11
0.102,0.22140264511108398,11
0.099,0.31264281272888184,11
0.1,0.293654203414917,11
0.099,0.2888476848602295,11
0.1,0.21026897430419922,11
0.1,0.39051294326782227,11
0.101,0.40111637115478516,11
0.099,0.31590795516967773,11
0.101,0.28865814208984375,11
0.099,0.23644328117370605,11
0.101,0.25421786308288574,11
0.1,0.3487992286682129,11
0.099,0.28244614601135254,11
0.101,0.27193498611450195,11
0.099,0.2789316177368164,11
0.101,0.21199846267700195,11
0.1,0.31384825706481934,11
0.099,0.29065656661987305,11
0.101,0.2804388999938965,11
0.099,0.20787286758422852,11
0.1,0.22131657600402832,11
0.1,0.3223865032196045,11
0.101,0.30039381980895996,11
0.1,0.28856825828552246,11
0.099,0.23633384704589844,11
0.101,0.221893310546875,11
0.1,0.3240959644317627,11
0.099,0.29776644706726074,11
0.1,0.284975528717041,11
0.101,0.21214842796325684,11
0.1,0.2538573741912842,11
0.1,0.31338953971862793,11
0.1,0.29404640197753906,11
0.1,0.2798638343811035,11
0.1,0.22896432876586914,11
0.1,0.21086502075195312,11
0.099,0.30814194679260254,11
0.101,0.2890048027038574,11
0.099,0.2772483825683594,11
0.101,0.20598697662353516,11
0.1,0.2514607906341553,11
0.1,0.3541557788848877,11
0.099,0.2973661422729492,11
0.101,0.27445030212402344,11
0.099,0.22518229484558105,11
0.101,0.23538756370544434,11
0.099,0.31091928482055664,11
0.101,0.29762887954711914,11
0.099,0.27474308013916016,11
0.101,0.22069811820983887,11
0.099,0.22318816184997559,11
0.1,0.3201582431793213,11
0.1,0.300753116607666,11
0.101,0.28964686393737793,11
0.1,0.23863530158996582,11
0.1,0.21207928657531738,11
0.1,0.3115224838256836,11
0.099,0.2876293659210205,11
0.101,0.2930471897125244,11
0.099,0.23215031623840332,11
0.1,0.2405529022216797,11
0.101,0.31995511054992676,11
0.099,0.5023384094238281,11
0.102,0.29207849502563477,11
0.098,0.2105395793914795,11
0.1,0.22540640830993652,11
0.101,0.3227729797363281,11
0.099,0.3035163879394531,11
0.101,0.28954195976257324,11
0.1,0.2648775577545166,11
0.099,0.23189020156860352,11
0.101,0.31749796867370605,11
0.099,0.29782700538635254,11
0.101,0.2811276912689209,11
0.099,0.3007171154022217,11
0.101,0.21927261352539062,11
0.099,0.3166236877441406,11
0.101,0.2981595993041992,11
0.099,0.2879788875579834,11
0.101,0.21024513244628906,11
0.099,0.23916196823120117,11
0.101,0.32489562034606934,11
0.1,0.30345869064331055,11
0.1,0.30965733528137207,11
0.099,0.23553466796875,11
0.1,0.21570348739624023,11
0.1,0.32512569427490234,11
0.1,0.3026282787322998,11
0.1,0.28742051124572754,11
0.1,0.24634218215942383,11
0.1,0.2788877487182617,11
0.101,0.3044455051422119,11
0.099,0.281353235244751,11
0.101,0.2741966247558594,11
0.099,0.24881672859191895,11
0.101,0.22042512893676758,11
0.1,0.32344579696655273,11
0.099,0.2980372905731201,11
0.101,0.2846546173095703,11
0.099,0.25479626655578613,11
0.101,0.27785301208496094,11
0.099,0.33498144149780273,11
0.1,0.2717311382293701,11
0.1,0.2630898952484131,11
0.1,0.2713038921356201,11
0.1,0.23147940635681152,11
0.1,0.31361937522888184,11
0.1,0.28933238983154297,11
0.101,0.2723875045776367,11
0.099,0.2329564094543457,11
0.101,0.2794609069824219,11
0.099,0.3364987373352051,11
0.1,0.2733645439147949,11
0.1,0.2586860656738281,11
0.1,0.2113955020904541,11
0.101,0.2340555191040039,11
0.1,0.31284642219543457,11
0.099,0.2895541191101074,11
0.1,0.2778053283691406,11
0.1,0.2623898983001709,11
0.101,0.22537732124328613,11
0.1,0.3244502544403076,11
0.099,0.300767183303833,11
0.101,0.2912623882293701,11
0.1,0.23714470863342285,11
0.099,0.2501559257507324,11
0.101,0.31473851203918457,11
0.099,0.29227209091186523,11
0.101,0.28128552436828613,11
0.1,0.20963811874389648,11
0.1,0.2215728759765625,11
0.099,0.3249232769012451,11
0.101,0.30196046829223633,11
0.099,0.2847096920013428,11
0.1,0.2354741096496582,11
0.1,0.21640491485595703,11
0.101,0.3188002109527588,11
0.099,0.29587435722351074,11
0.1,0.283862829208374,11
0.1,0.23454570770263672,11
