Delta,Latency
0.1,0.08849859237670898
0.1,0.08779597282409668
0.1,0.08652234077453613
0.1,0.08760452270507812
0.1,0.08458685874938965
0.1,0.08607769012451172
0.1,0.08472180366516113
0.1,0.08202910423278809
0.1,0.08046722412109375
0.1,0.08049416542053223
0.1,0.07829499244689941
0.102,0.08072662353515625
0.098,0.07577896118164062
0.1,0.07772612571716309
0.1,0.07603859901428223
0.1,0.07472586631774902
0.1,0.07710027694702148
0.1,0.07631564140319824
0.1,0.0759427547454834
0.1,0.07023048400878906
0.1,0.07496142387390137
0.1,0.07588815689086914
0.1,0.07223129272460938
0.1,0.07116127014160156
0.1,0.0702664852142334
0.1,0.07405710220336914
0.1,0.07050776481628418
0.1,0.07109308242797852
0.102,0.08195638656616211
0.098,0.06456685066223145
0.1,0.07191705703735352
0.101,0.06847143173217773
0.099,0.06808185577392578
0.1,0.07223057746887207
0.1,0.06165122985839844
0.1,0.06515240669250488
0.1,0.06302738189697266
0.1,0.06555867195129395
0.1,0.0637669563293457
0.1,0.059578657150268555
0.1,0.06000685691833496
0.1,0.06204557418823242
0.1,0.05835223197937012
0.1,0.05627012252807617
0.1,0.05699038505554199
0.1,0.05743837356567383
0.1,0.057881832122802734
0.1,0.054582834243774414
0.1,0.05026817321777344
0.1,0.05152726173400879
0.1,0.052221059799194336
0.1,0.0576169490814209
0.1,0.05279684066772461
0.1,0.051276445388793945
0.1,0.049924612045288086
0.1,0.048781394958496094
0.1,0.046326398849487305
0.1,0.05056285858154297
0.1,0.04674124717712402
0.1,0.047121524810791016
0.1,0.04931497573852539
0.1,0.0421748161315918
0.1,0.044808149337768555
0.101,0.04404902458190918
0.099,0.04360818862915039
0.1,0.04386782646179199
0.1,0.043102264404296875
0.1,0.042638540267944336
0.1,0.04148268699645996
0.1,0.04132843017578125
0.1,0.035909414291381836
0.1,0.03438067436218262
0.1,0.03339385986328125
0.1,0.03833508491516113
0.1,0.03562164306640625
0.1,0.03447246551513672
0.1,0.028360605239868164
0.1,0.033078670501708984
0.1,0.030785560607910156
0.1,0.032161712646484375
0.1,0.031126737594604492
0.1,0.03219199180603027
0.1,0.03115391731262207
0.101,0.03229665756225586
0.099,0.030087947845458984
0.1,0.028604745864868164
0.101,0.028209686279296875
0.099,0.02871537208557129
0.1,0.024383068084716797
0.1,0.0223848819732666
0.101,0.024405717849731445
0.099,0.023481130599975586
0.1,0.023380756378173828
0.1,0.02136969566345215
0.1,0.02174234390258789
0.1,0.022199630737304688
0.1,0.021598339080810547
0.1,0.016902685165405273
0.1,0.01654672622680664
0.1,0.019779205322265625
0.101,0.019120454788208008
0.099,0.1183314323425293
0.1,0.11714935302734375
0.1,0.01894855499267578
0.1,0.014555931091308594
0.101,0.017616987228393555
0.099,0.11887168884277344
0.1,0.11699247360229492
0.1,0.11618971824645996
0.1,0.1183617115020752
0.101,0.11660170555114746
0.099,0.11702394485473633
0.1,0.1151573657989502
0.1,0.11330151557922363
0.1,0.11696124076843262
0.1,0.11611819267272949
0.1,0.11136317253112793
0.1,0.11299681663513184
0.1,0.11229610443115234
0.1,0.11157560348510742
0.1,0.11066389083862305
0.1,0.11019635200500488
0.1,0.10748958587646484
0.1,0.10685229301452637
0.1,0.10961055755615234
0.1,0.1072547435760498
0.1,0.10723018646240234
0.1,0.10698795318603516
0.1,0.10722136497497559
0.101,0.10640835762023926
0.099,0.10519194602966309
0.1,0.10492801666259766
0.1,0.1041102409362793
0.1,0.11571717262268066
0.1,0.09947395324707031
0.1,0.10334372520446777
0.1,0.10046505928039551
0.1,0.09925603866577148
0.1,0.09856557846069336
0.1,0.09836077690124512
0.1,0.09774923324584961
0.1,0.09738945960998535
0.1,0.09577178955078125
0.1,0.09688758850097656
0.1,0.09662628173828125
0.1,0.09644174575805664
0.1,0.09573483467102051
0.1,0.09568309783935547
0.1,0.09719276428222656
0.1,0.09135961532592773
0.1,0.09443974494934082
0.1,0.09375762939453125
0.1,0.09584712982177734
0.1,0.08984565734863281
0.1,0.0942535400390625
0.1,0.09201312065124512
0.1,0.09163284301757812
0.1,0.0923302173614502
0.1,0.09360790252685547
0.1,0.08993101119995117
0.1,0.08883929252624512
0.1,0.08922815322875977
0.1,0.08864593505859375
0.1,0.0873255729675293
0.1,0.08552289009094238
0.1,0.08425688743591309
0.1,0.08399724960327148
0.1,0.08348846435546875
0.1,0.0829157829284668
0.1,0.08078932762145996
0.1,0.08092546463012695
0.1,0.07986998558044434
0.1,0.0763852596282959
0.1,0.07867240905761719
0.1,0.07735204696655273
0.1,0.07819962501525879
0.1,0.07674074172973633
0.1,0.07328391075134277
0.1,0.07323122024536133
0.1,0.07527589797973633
0.1,0.07612276077270508
0.1,0.0699000358581543
0.1,0.07152175903320312
0.1,0.0707547664642334
0.1,0.0695338249206543
0.1,0.06908988952636719
0.1,0.06755757331848145
0.1,0.06762003898620605
0.1,0.06608819961547852
0.1,0.06545066833496094
0.1,0.06436729431152344
0.1,0.06461358070373535
0.1,0.0639963150024414
0.1,0.06403303146362305
0.1,0.06274580955505371
0.1,0.06313967704772949
0.1,0.061131954193115234
0.1,0.06221318244934082
0.1,0.061652183532714844
0.1,0.05455613136291504
0.1,0.061482906341552734
0.1,0.0567779541015625
0.1,0.05732917785644531
0.1,0.056015729904174805
0.1,0.05504608154296875
0.1,0.05329537391662598
0.1,0.05210256576538086
0.1,0.05218672752380371
0.1,0.05441093444824219
0.1,0.053263187408447266
0.1,0.0540471076965332
0.1,0.05309462547302246
0.1,0.053038597106933594
0.1,0.05131721496582031
0.1,0.04900383949279785
0.1,0.04809165000915527
0.1,0.04932427406311035
0.1,0.05020475387573242
0.1,0.04529285430908203
0.1,0.046437978744506836
0.1,0.04694223403930664
0.1,0.04516887664794922
0.1,0.04767966270446777
0.1,0.040506839752197266
0.1,0.04367685317993164
0.1,0.04235672950744629
0.1,0.04065990447998047
0.1,0.04096674919128418
0.1,0.037328481674194336
0.1,0.044013261795043945
0.1,0.0357365608215332
0.1,0.035809993743896484
0.1,0.037140607833862305
0.1,0.21254205703735352
0.1,0.022102832794189453
0.1,0.02407050132751465
0.1,0.024234294891357422
0.101,0.023545503616333008
0.099,0.02262735366821289
0.1,0.019420862197875977
0.1,0.021082401275634766
0.1,0.02366352081298828
0.1,0.020193099975585938
0.1,0.0196380615234375
0.1,0.11912226676940918
0.1,0.016197681427001953
0.1,0.017277240753173828
0.1,0.11918210983276367
0.1,0.11808395385742188
0.1,0.012897491455078125
0.1,0.11658358573913574
0.1,0.11975955963134766
0.1,0.11374735832214355
0.1,0.11609029769897461
0.1,0.11580276489257812
0.1,0.11132407188415527
0.1,0.11241698265075684
0.1,0.11298394203186035
0.1,0.11204195022583008
0.1,0.11063385009765625
0.1,0.10913372039794922
0.1,0.10889244079589844
0.1,0.11025714874267578
0.1,0.10910296440124512
0.1,0.10979938507080078
0.1,0.10629034042358398
0.1,0.10629582405090332
0.1,0.10503864288330078
0.1,0.10459589958190918
0.1,0.10721492767333984
0.1,0.10212445259094238
0.1,0.10370087623596191
0.1,0.1036081314086914
0.1,0.10664725303649902
0.1,0.10105443000793457
0.1,0.10088300704956055
0.1,0.10045671463012695
0.1,0.10106730461120605
0.1,0.10141110420227051
0.1,0.09988927841186523
0.1,0.09849715232849121
0.1,0.09852957725524902
0.1,0.09346580505371094
0.1,0.09415221214294434
0.1,0.09854459762573242
0.1,0.09589076042175293
0.1,0.0968632698059082
0.1,0.09566712379455566
0.1,0.09306454658508301
0.1,0.09512948989868164
0.1,0.0946199893951416
0.1,0.09433603286743164
0.1,0.0928947925567627
0.1,0.0936892032623291
0.1,0.09218502044677734
0.1,0.09262275695800781
0.1,0.08948302268981934
0.1,0.08947038650512695
0.1,0.08776712417602539
0.1,0.0886237621307373
0.1,0.08827853202819824
0.1,0.0886383056640625
0.1,0.08583331108093262
0.1,0.0866854190826416
0.1,0.08607339859008789
0.1,0.08664727210998535
0.1,0.08459782600402832
0.1,0.08258771896362305
0.101,0.08229851722717285
0.099,0.07892560958862305
0.1,0.08069682121276855
0.1,0.08150386810302734
0.1,0.0799551010131836
0.1,0.07913589477539062
0.1,0.07783961296081543
0.1,0.0778048038482666
0.1,0.07803559303283691
0.1,0.07765007019042969
0.1,0.07622051239013672
0.1,0.0742645263671875
0.1,0.07332158088684082
0.1,0.07303571701049805
0.1,0.07018804550170898
0.1,0.07110929489135742
0.1,0.07242727279663086
0.1,0.07305121421813965
0.1,0.07209897041320801
0.1,0.07239913940429688
0.1,0.06729459762573242
0.1,0.07201242446899414
0.1,0.06955409049987793
0.1,0.0698695182800293
0.1,0.07045483589172363
0.1,0.06607508659362793
0.1,0.05433344841003418
0.1,0.0547938346862793
0.1,0.058357954025268555
0.1,0.05817675590515137
0.1,0.05559802055358887
0.1,0.05599021911621094
0.1,0.05600690841674805
0.1,0.05537223815917969
0.1,0.05304145812988281
0.1,0.05452251434326172
0.1,0.05279707908630371
0.1,0.0521388053894043
0.1,0.050687551498413086
0.1,0.04932999610900879
0.1,0.046347856521606445
0.1,0.04514741897583008
0.1,0.04731440544128418
0.1,0.04533672332763672
0.1,0.04500317573547363
0.1,0.04368948936462402
0.1,0.043572425842285156
0.1,0.04276108741760254
0.1,0.04356861114501953
0.1,0.043385982513427734
0.1,0.04139351844787598
0.1,0.0414886474609375
