Delta,Latency,Num_of_topics
0.099,0.2755320072174072,11
0.1,0.18405389785766602,11
0.1,0.2728111743927002,11
0.1,0.3417050838470459,11
0.1,0.2678408622741699,11
0.101,0.2528400421142578,11
0.099,0.183488130569458,11
0.1,0.25280117988586426,11
0.1,0.35397982597351074,11
0.1,0.29354357719421387,11
0.1,0.25066709518432617,11
0.101,0.15454363822937012,11
0.099,0.25923967361450195,11
0.1,0.36446213722229004,11
0.1,0.33800435066223145,11
0.1,0.25606799125671387,11
0.1,0.14684796333312988,11
0.1,0.24680542945861816,11
0.101,0.3469877243041992,11
0.099,0.2742753028869629,11
0.1,0.2574765682220459,11
0.1,0.1819140911102295,11
0.1,0.28290534019470215,11
0.101,0.383148193359375,11
0.099,0.33132052421569824,11
0.1,0.2402815818786621,11
0.1,0.16240882873535156,11
0.1,0.2451186180114746,11
0.1,0.3036069869995117,11
0.1,0.2720775604248047,11
0.1,0.2493431568145752,11
0.1,0.21044373512268066,11
0.1,0.3103928565979004,11
0.1,0.32756638526916504,11
0.1,0.3069648742675781,11
0.101,0.23491573333740234,11
0.099,0.17974567413330078,11
0.1,0.2449502944946289,11
0.1,0.3053274154663086,11
0.101,0.27173542976379395,11
0.099,0.24957513809204102,11
0.1,0.15119123458862305,11
0.101,0.2531015872955322,11
0.099,0.35120344161987305,11
0.101,0.3297543525695801,11
0.1,0.25722432136535645,11
0.099,0.15114641189575195,11
0.1,0.2549726963043213,11
0.1,0.35237860679626465,11
0.101,0.2911219596862793,11
0.099,0.2632739543914795,11
0.1,0.18140387535095215,11
0.1,0.27982616424560547,11
0.101,0.37945556640625,11
0.099,0.3134596347808838,11
0.1,0.24084877967834473,11
0.1,0.19585871696472168,11
0.101,0.2957751750946045,11
0.099,0.3731660842895508,11
0.1,0.256317138671875,11
0.1,0.23179244995117188,11
0.102,0.191969633102417,11
0.098,0.27461743354797363,11
0.101,0.37918806076049805,11
3.634,0.36907219886779785,12
0.1,0.28885531425476074,12
0.101,0.18138742446899414,12
0.099,0.28551292419433594,12
0.1,0.3414173126220703,12
0.1,0.31511855125427246,12
0.101,0.29377222061157227,12
0.099,0.20524811744689941,12
0.1,0.29260897636413574,12
0.1,0.3637423515319824,12
0.1,0.32993054389953613,12
0.101,0.29990053176879883,12
0.1,0.22094464302062988,12
0.1,0.3183455467224121,12
0.1,0.33902478218078613,12
0.099,0.30034375190734863,12
0.1,0.27959609031677246,12
0.101,0.23163557052612305,12
0.099,0.31368517875671387,12
0.1,0.37670302391052246,12
0.101,0.3046550750732422,12
0.1,0.273496150970459,12
0.099,0.23309707641601562,12
0.1,0.2839829921722412,12
0.101,0.28928279876708984,12
0.099,0.2926602363586426,12
0.1,0.27547550201416016,12
0.101,0.1877298355102539,12
0.099,0.3142364025115967,12
0.1,0.3702688217163086,12
0.1,0.3645038604736328,12
0.1,0.30574679374694824,12
0.1,0.18508124351501465,12
0.1,0.29363346099853516,12
0.1,0.3437356948852539,12
0.101,0.25027942657470703,12
0.099,0.29027843475341797,12
0.1,0.18716716766357422,12
0.101,0.2864706516265869,12
0.099,0.34625792503356934,12
0.1,0.31099891662597656,12
0.1,0.28898143768310547,12
0.1,0.21255707740783691,12
