Delta,Latency
0.1,0.09808230400085449
0.1,0.09328246116638184
0.1,0.09335160255432129
0.1,0.09313845634460449
0.1,0.090606689453125
0.1,0.09269046783447266
0.1,0.08996415138244629
0.1,0.08950400352478027
0.1,0.08959150314331055
0.1,0.08803677558898926
0.1,0.0878291130065918
0.1,0.08956694602966309
0.1,0.08569717407226562
0.1,0.08493828773498535
0.1,0.08518433570861816
0.1,0.08365011215209961
0.1,0.08380389213562012
0.1,0.08118677139282227
0.1,0.08178043365478516
0.1,0.08104515075683594
0.1,0.08277606964111328
0.1,0.08133077621459961
0.1,0.08050870895385742
0.1,0.08011913299560547
0.1,0.08078813552856445
0.1,0.07799959182739258
0.1,0.07568717002868652
0.1,0.07435250282287598
0.1,0.0760953426361084
0.1,0.07525444030761719
0.1,0.07832622528076172
0.1,0.07267236709594727
0.1,0.07231283187866211
0.1,0.0729982852935791
0.1,0.07116317749023438
0.1,0.07048201560974121
0.1,0.07045745849609375
0.1,0.06995749473571777
0.1,0.07018852233886719
0.1,0.06895089149475098
0.1,0.06804299354553223
0.1,0.07170462608337402
0.1,0.06740021705627441
0.1,0.06545472145080566
0.1,0.0675039291381836
0.1,0.06828641891479492
0.1,0.06694912910461426
0.1,0.06748795509338379
0.1,0.06465816497802734
0.1,0.06329584121704102
0.1,0.06543397903442383
0.1,0.061937808990478516
0.1,0.06333136558532715
0.1,0.06141924858093262
0.1,0.06238198280334473
0.1,0.06139945983886719
0.1,0.061824798583984375
0.1,0.05784344673156738
0.1,0.061037302017211914
0.1,0.05610060691833496
0.1,0.05993390083312988
0.1,0.05367732048034668
0.1,0.050459861755371094
0.1,0.050319671630859375
0.1,0.047956228256225586
0.1,0.05204439163208008
0.1,0.046527862548828125
0.1,0.04854607582092285
0.1,0.18148231506347656
0.1,0.05055952072143555
0.1,0.05008888244628906
0.1,0.04554557800292969
0.1,0.04678225517272949
0.1,0.045447587966918945
0.1,0.04492497444152832
0.1,0.0443267822265625
0.1,0.04326677322387695
0.1,0.04751324653625488
0.1,0.0457763671875
0.1,0.04090738296508789
0.1,0.04555463790893555
0.1,0.038268327713012695
0.1,0.04025888442993164
0.1,0.04035687446594238
0.1,0.03901839256286621
0.1,0.04299807548522949
0.1,0.037953853607177734
0.1,0.03873944282531738
0.1,0.0354466438293457
0.1,0.040277719497680664
0.1,0.0404667854309082
0.1,0.0359957218170166
0.1,0.03720426559448242
0.1,0.03631854057312012
0.1,0.03339648246765137
0.1,0.03445744514465332
0.1,0.034070730209350586
0.1,0.03049445152282715
0.1,0.030196189880371094
0.1,0.03556513786315918
0.1,0.029306888580322266
0.1,0.02940225601196289
0.1,0.03203153610229492
0.1,0.030040502548217773
0.1,0.02837228775024414
0.1,0.02806830406188965
0.1,0.03204703330993652
0.1,0.025487184524536133
0.1,0.034493207931518555
0.1,0.024315834045410156
0.101,0.028913021087646484
0.099,0.029238224029541016
0.101,0.02504110336303711
0.099,0.027124881744384766
0.101,0.029243946075439453
0.099,0.023048877716064453
0.1,0.02621769905090332
0.1,0.020886659622192383
0.101,0.021750211715698242
0.099,0.0214998722076416
0.1,0.0180819034576416
0.1,0.02023482322692871
0.1,0.017850637435913086
0.1,0.017215490341186523
0.1,0.016202449798583984
0.1,0.015597105026245117
0.1,0.015210151672363281
0.1,0.018083572387695312
0.1,0.012776851654052734
0.1,0.012986421585083008
0.1,0.012228727340698242
0.1,0.010852813720703125
0.1,0.011103153228759766
0.1,0.11137056350708008
0.1,0.009446144104003906
0.1,0.10940217971801758
0.1,0.11047577857971191
0.1,0.10844159126281738
0.1,0.10744833946228027
0.1,0.10206413269042969
0.1,0.10947537422180176
0.1,0.08633899688720703
0.1,0.0866096019744873
0.1,0.08666515350341797
0.1,0.08687496185302734
0.1,0.09290337562561035
0.1,0.08281230926513672
0.1,0.0833883285522461
0.1,0.08507823944091797
0.1,0.08466124534606934
0.1,0.08174514770507812
0.1,0.08164525032043457
0.1,0.08193087577819824
0.1,0.07952547073364258
0.1,0.07848453521728516
0.1,0.07855939865112305
0.1,0.0776052474975586
0.1,0.07823514938354492
0.1,0.07986974716186523
0.1,0.07674241065979004
0.1,0.07732653617858887
0.1,0.0747218132019043
0.1,0.07935762405395508
0.1,0.0790262222290039
0.1,0.08069252967834473
0.1,0.07903575897216797
0.1,0.07862091064453125
0.1,0.07320308685302734
0.1,0.07580733299255371
0.1,0.07479453086853027
0.1,0.07593154907226562
0.1,0.07877421379089355
0.1,0.07132577896118164
0.1,0.07998514175415039
0.1,0.07035684585571289
0.1,0.07804989814758301
0.101,0.07037925720214844
0.099,0.06983280181884766
0.1,0.0675961971282959
0.101,0.07594084739685059
0.099,0.06547927856445312
0.1,0.07229018211364746
0.1,0.06925296783447266
0.1,0.06447196006774902
0.1,0.06506705284118652
0.1,0.06740164756774902
0.1,0.06202507019042969
0.1,0.06181192398071289
0.1,0.06300783157348633
0.1,0.06288337707519531
0.103,0.06812357902526855
0.097,0.05748581886291504
0.1,0.05754590034484863
0.1,0.06218838691711426
0.1,0.06272506713867188
0.1,0.05520439147949219
0.1,0.05582928657531738
0.1,0.05538344383239746
0.101,0.05983877182006836
0.099,0.05422401428222656
0.1,0.056301116943359375
0.1,0.05350637435913086
0.1,0.05457925796508789
0.1,0.05017256736755371
0.1,0.04880952835083008
0.1,0.0493168830871582
0.1,0.050237178802490234
0.1,0.04754209518432617
0.1,0.04646658897399902
0.1,0.04626798629760742
0.1,0.05015444755554199
0.1,0.04499936103820801
0.1,0.050556182861328125
0.1,0.04390597343444824
0.1,0.044570207595825195
0.1,0.04362010955810547
0.1,0.04352116584777832
0.1,0.043296098709106445
