Delta,Latency,Num_of_topics
0.099,0.2635500431060791,11
0.101,0.21809673309326172,11
0.1,0.2668302059173584,11
0.1,0.3325521945953369,11
0.1,0.30177855491638184,11
0.1,0.28390932083129883,11
0.1,0.1833491325378418,11
0.1,0.2823612689971924,11
0.101,0.33641862869262695,11
0.099,0.301067590713501,11
0.099,0.2828030586242676,11
0.101,0.203810453414917,11
0.101,0.3039984703063965,11
0.099,0.32547426223754883,11
0.1,0.2938539981842041,11
0.1,0.274874210357666,11
0.099,0.20566391944885254,11
0.101,0.2689204216003418,11
0.1,0.3299436569213867,11
0.1,0.294558048248291,11
0.099,0.2748880386352539,11
0.101,0.1800241470336914,11
0.1,0.2755613327026367,11
0.1,0.3353540897369385,11
0.1,0.3023560047149658,11
0.101,0.2863750457763672,11
0.098,0.17711853981018066,11
0.101,0.2848529815673828,11
0.1,0.3405599594116211,11
0.1,0.2997889518737793,11
0.099,0.28474879264831543,11
0.1,0.20908045768737793,11
0.101,0.2683072090148926,11
0.099,0.3317742347717285,11
0.101,0.2991068363189697,11
0.099,0.2734830379486084,11
0.101,0.2100062370300293,11
0.1,0.30663275718688965,11
0.1,0.33069539070129395,11
0.1,0.28936266899108887,11
0.1,0.26915931701660156,11
0.1,0.23337841033935547,11
0.1,0.28513002395629883,11
0.1,0.32671403884887695,11
0.1,0.29592227935791016,11
0.1,0.28002214431762695,11
0.1,0.17844939231872559,11
0.101,0.28647327423095703,11
0.099,0.342670202255249,11
0.1,0.3057072162628174,11
0.099,0.29088878631591797,11
0.102,0.17685317993164062,11
0.099,0.2916252613067627,11
0.099,0.3519442081451416,11
0.101,0.3047025203704834,11
0.1,0.28440165519714355,11
0.1,0.24047327041625977,11
0.1,0.3021225929260254,11
0.1,0.36289358139038086,11
0.1,0.27944087982177734,11
0.1,0.25991082191467285,11
0.1,0.19444656372070312,11
0.1,0.27367067337036133,11
0.1,0.33292150497436523,11
0.1,0.30229973793029785,11
0.1,0.2823669910430908,11
0.1,0.21203088760375977,11
0.1,0.30352067947387695,11
0.1,0.3207743167877197,11
0.099,0.2845757007598877,11
0.1,0.26807427406311035,11
0.102,0.22019743919372559,11
0.099,0.3013896942138672,11
0.101,0.3156123161315918,11
0.099,0.28390026092529297,11
0.1,0.2627077102661133,11
0.1,0.19471454620361328,11
0.101,0.272310733795166,11
0.099,0.33777403831481934,11
0.1,0.2942073345184326,11
0.099,0.27361488342285156,11
0.1,0.17288899421691895,11
0.101,0.2741658687591553,11
0.1,0.3334512710571289,11
0.1,0.30092954635620117,11
0.1,0.2811455726623535,11
0.1,0.20474672317504883,11
0.1,0.3046550750732422,11
0.1,0.32534337043762207,11
0.1,0.2933645248413086,11
0.099,0.277296781539917,11
0.101,0.2039165496826172,11
0.101,0.27266907691955566,11
0.098,0.3368957042694092,11
0.1,0.30068159103393555,11
0.101,0.2776656150817871,11
0.1,0.23363041877746582,11
0.1,0.33550596237182617,11
0.1,0.31157541275024414,11
0.099,0.27323031425476074,11
0.101,0.2571995258331299,11
0.099,0.21016621589660645,11
0.101,0.2645113468170166,11
0.1,0.32437634468078613,11
0.1,0.2930417060852051,11
0.1,0.2752079963684082,11
0.099,0.17965054512023926,11
0.101,0.3265247344970703,11
0.1,0.3356623649597168,11
0.1,0.30072450637817383,11
0.099,0.27802252769470215,11
0.101,0.20050597190856934,11
0.1,0.3035707473754883,11
0.1,0.3195497989654541,11
0.1,0.2900397777557373,11
0.1,0.2723677158355713,11
0.1,0.2277388572692871,11
0.1,0.3015918731689453,11
0.1,0.32569026947021484,11
0.1,0.29605937004089355,11
0.1,0.28003954887390137,11
0.099,0.18182849884033203,11
0.1,0.2840309143066406,11
0.101,0.34321141242980957,12
0.1,0.3069031238555908,12
0.099,0.2862396240234375,12
0.102,0.21334052085876465,12
0.099,0.27499866485595703,12
0.1,0.3358612060546875,12
0.1,0.29521608352661133,12
0.1,0.29004693031311035,12
0.099,0.2086787223815918,12
0.101,0.2767622470855713,12
0.1,0.33954334259033203,12
0.1,0.3019077777862549,12
0.1,0.2894706726074219,12
0.099,0.18856477737426758,12
0.101,0.2918248176574707,12
0.1,0.3398873805999756,12
0.1,0.30544543266296387,12
0.099,0.2772397994995117,12
0.101,0.18218684196472168,12
0.101,0.2845773696899414,12
0.099,0.3358476161956787,12
0.1,0.3136446475982666,12
0.099,0.28550100326538086,12
0.101,0.20734572410583496,12
0.1,0.3083012104034424,12
0.1,0.33204007148742676,12
0.1,0.30110669136047363,12
0.1,0.26807308197021484,12
0.1,0.19178032875061035,12
0.1,0.27346253395080566,12
0.1,0.3488895893096924,12
0.1,0.29877209663391113,12
0.1,0.27930593490600586,12
0.1,0.23808550834655762,12
0.1,0.269911527633667,12
0.101,0.3297257423400879,12
0.099,0.30206966400146484,12
0.1,0.2703218460083008,12
0.1,0.17752790451049805,12
0.1,0.2740767002105713,12
0.101,0.3375508785247803,12
0.099,0.2988724708557129,12
0.1,0.28794264793395996,12
0.1,0.1775202751159668,12
0.101,0.2884829044342041,12
0.099,0.33617067337036133,12
0.1,0.30045127868652344,12
0.099,0.27804040908813477,12
0.101,0.2361760139465332,12
0.1,0.3004307746887207,12
0.099,0.32101964950561523,12
0.1,0.2882199287414551,12
0.101,0.28159213066101074,12
0.1,0.2088007926940918,12
0.1,0.27666664123535156,12
0.1,0.3491826057434082,12
0.1,0.2977116107940674,12
0.099,0.2762160301208496,12
0.101,0.20789098739624023,12
0.1,0.27155375480651855,12
0.101,0.332165002822876,12
0.099,0.2974371910095215,12
0.1,0.27478599548339844,12
0.1,0.2093815803527832,12
0.1,0.26901960372924805,12
0.1,0.32988786697387695,12
0.1,0.29311180114746094,12
0.1,0.27469682693481445,12
0.1,0.17806720733642578,12
0.1,0.273862361907959,12
0.1,0.33472347259521484,12
0.1,0.301666259765625,12
0.1,0.28090548515319824,12
0.1,0.19069266319274902,12
0.1,0.2783322334289551,12
0.1,0.3449244499206543,12
0.1,0.2998321056365967,12
0.1,0.29186344146728516,12
0.1,0.18560218811035156,12
0.1,0.2835419178009033,12
0.1,0.3447911739349365,12
0.1,0.31144046783447266,12
0.099,0.29032039642333984,12
0.101,0.2143392562866211,12
0.1,0.3117074966430664,12
0.1,0.3231315612792969,12
0.1,0.2913525104522705,12
0.099,0.2737898826599121,12
0.1,0.23128437995910645,12
0.101,0.3358442783355713,12
0.099,0.34726858139038086,12
0.101,0.27176976203918457,12
0.1,0.25599002838134766,12
0.1,0.20873570442199707,12
0.1,0.26839566230773926,12
0.1,0.3329346179962158,12
0.1,0.2943267822265625,12
0.099,0.2773745059967041,12
0.101,0.17890214920043945,12
0.1,0.2797698974609375,12
0.1,0.3518688678741455,12
0.1,0.3064098358154297,12
0.1,0.29483890533447266,12
0.1,0.2459859848022461,12
0.1,0.3102290630340576,12
0.1,0.33764147758483887,12
0.1,0.2952916622161865,12
