Delta,Latency
0.1,0.049078941345214844
0.1,0.0476682186126709
0.1,0.04444599151611328
0.1,0.04793691635131836
0.1,0.046501874923706055
0.1,0.046219587326049805
0.1,0.04585695266723633
0.1,0.0432744026184082
0.1,0.04449343681335449
0.1,0.04054546356201172
0.1,0.04079031944274902
0.1,0.03993368148803711
0.1,0.03870654106140137
0.1,0.038970947265625
0.1,0.06996297836303711
0.1,0.037639617919921875
0.1,0.03769207000732422
0.1,0.03836536407470703
0.1,0.03929567337036133
0.1,0.038767337799072266
0.1,0.03673505783081055
0.1,0.03737044334411621
0.1,0.035704851150512695
0.1,0.0356292724609375
0.1,0.03199028968811035
0.1,0.03228402137756348
0.1,0.0382230281829834
0.1,0.03704380989074707
0.1,0.03430485725402832
0.1,0.033725738525390625
0.1,0.03159952163696289
0.1,0.0309906005859375
0.1,0.03091120719909668
0.1,0.029941558837890625
0.101,0.02939295768737793
0.099,0.024761676788330078
0.1,0.026235342025756836
0.1,0.02655768394470215
0.1,0.025020122528076172
0.1,0.025585651397705078
0.1,0.022996187210083008
0.1,0.022728919982910156
0.1,0.025220155715942383
0.1,0.022159576416015625
0.1,0.02272963523864746
0.1,0.020184993743896484
0.1,0.018562793731689453
0.1,0.01955389976501465
0.1,0.0194089412689209
0.1,0.018607616424560547
0.1,0.1195371150970459
0.1,0.016730546951293945
0.101,0.11726546287536621
0.099,0.11687517166137695
0.1,0.12047195434570312
0.1,0.11487960815429688
0.101,0.11550402641296387
0.099,0.010786294937133789
0.1,0.010203838348388672
0.1,0.1115560531616211
0.1,0.11846518516540527
0.1,0.11332058906555176
0.1,0.11201953887939453
0.1,0.11249661445617676
0.1,0.11060976982116699
0.1,0.11061334609985352
0.1,0.10833883285522461
0.1,0.10742640495300293
0.1,0.1084892749786377
0.1,0.1070249080657959
0.101,0.10815191268920898
0.099,0.10566043853759766
0.1,0.10647892951965332
0.1,0.1055295467376709
0.1,0.10209512710571289
0.1,0.09986329078674316
0.1,0.10933566093444824
0.1,0.09849405288696289
0.1,0.10029053688049316
0.1,0.09945130348205566
0.1,0.09895133972167969
0.1,0.09909868240356445
0.1,0.09920430183410645
0.1,0.09737682342529297
0.1,0.09714961051940918
0.1,0.09360980987548828
0.1,0.0959923267364502
0.1,0.0981435775756836
0.1,0.09727644920349121
0.101,0.1005702018737793
0.099,0.08833432197570801
0.1,0.09478259086608887
0.1,0.09365963935852051
0.1,0.0915071964263916
0.1,0.0922236442565918
0.1,0.09173297882080078
0.1,0.09128546714782715
0.1,0.09141802787780762
0.1,0.08966517448425293
0.1,0.08875226974487305
0.1,0.09048628807067871
0.1,0.08651375770568848
0.1,0.09087395668029785
0.1,0.08144354820251465
0.1,0.08390235900878906
0.1,0.08192157745361328
0.1,0.08381915092468262
0.1,0.08361268043518066
0.1,0.08789300918579102
0.1,0.12963461875915527
0.1,0.08430218696594238
0.1,0.07661008834838867
0.1,0.07653951644897461
0.1,0.07229495048522949
0.1,0.077423095703125
0.1,0.0664377212524414
0.1,0.06654834747314453
0.1,0.06552791595458984
0.1,0.06993627548217773
0.101,0.07044100761413574
0.099,0.06969785690307617
0.1,0.0684654712677002
0.1,0.06519842147827148
0.1,0.06647586822509766
0.1,0.06439924240112305
0.1,0.06573867797851562
0.1,0.06344819068908691
0.1,0.06203746795654297
0.101,0.06635165214538574
0.099,0.05664777755737305
0.1,0.06137204170227051
0.1,0.05706930160522461
0.1,0.056060791015625
0.1,0.05640602111816406
0.1,0.055527448654174805
0.1,0.058910369873046875
0.1,0.06104707717895508
0.1,0.061350345611572266
0.1,0.0623323917388916
0.1,0.053937435150146484
0.1,0.05963492393493652
0.1,0.057237863540649414
0.1,0.050997257232666016
0.1,0.05957603454589844
0.1,0.05118298530578613
0.1,0.05391979217529297
0.1,0.053047895431518555
0.1,0.05461406707763672
0.1,0.04804563522338867
0.1,0.04771304130554199
0.1,0.04699277877807617
0.1,0.04634666442871094
0.1,0.05216646194458008
0.1,0.04682278633117676
0.1,0.05157303810119629
0.1,0.049382925033569336
0.1,0.04981064796447754
0.1,0.0488588809967041
0.1,0.04887080192565918
0.1,0.049559593200683594
0.1,0.045809030532836914
0.1,0.04591512680053711
0.1,0.04445910453796387
0.1,0.043935298919677734
0.1,0.043404340744018555
0.1,0.04265022277832031
0.1,0.04272150993347168
0.1,0.043050289154052734
0.1,0.04632878303527832
0.1,0.04078221321105957
0.1,0.038221120834350586
0.1,0.04088473320007324
0.1,0.0386199951171875
0.1,0.03763222694396973
0.1,0.04058980941772461
0.1,0.03958010673522949
0.1,0.037116289138793945
0.1,0.03978371620178223
0.1,0.03574633598327637
0.1,0.03680133819580078
0.101,0.024682044982910156
0.099,0.02490830421447754
0.1,0.023243427276611328
0.1,0.028793811798095703
0.1,0.022967100143432617
0.1,0.02834606170654297
0.1,0.022119760513305664
0.1,0.024789810180664062
0.1,0.024753093719482422
0.1,0.022906064987182617
0.1,0.026147842407226562
0.1,0.02347731590270996
0.1,0.020877599716186523
0.1,0.02122020721435547
0.1,0.019208908081054688
0.1,0.019056320190429688
0.1,0.12003302574157715
0.1,0.12030839920043945
0.1,0.11898136138916016
0.1,0.014451980590820312
0.101,0.11849689483642578
