Delta,Latency
0.101,0.3555796146392822
0.099,0.3273308277130127
0.1,0.29065489768981934
0.101,0.26966238021850586
0.099,0.2228257656097412
0.1,0.2786991596221924
0.101,0.3428225517272949
0.1,0.3032815456390381
0.099,0.28335022926330566
0.101,0.17756152153015137
0.1,0.29430508613586426
0.099,0.35009336471557617
0.1,0.32007718086242676
0.1,0.29433274269104004
0.101,0.22388267517089844
0.099,0.30480408668518066
0.101,0.3423309326171875
0.099,0.30863451957702637
0.101,0.31331658363342285
0.099,0.20876526832580566
0.101,0.2913520336151123
0.1,0.34868884086608887
0.1,0.3119194507598877
0.099,0.29083681106567383
0.101,0.26628994941711426
0.1,0.2844662666320801
0.1,0.358367919921875
0.099,0.3275299072265625
0.1,0.29137492179870605
0.101,0.23174190521240234
0.1,0.29827022552490234
0.1,0.34740471839904785
0.1,0.31781554222106934
0.1,0.30147767066955566
0.1,0.22127532958984375
0.1,0.28971147537231445
0.1,0.3454728126525879
0.1,0.31477832794189453
0.1,0.29523372650146484
0.099,0.22228264808654785
0.101,0.33200669288635254
0.099,0.3455183506011963
0.101,0.3114190101623535
0.1,0.29643774032592773
0.099,0.33319616317749023
0.101,0.294605016708374
0.1,0.36217379570007324
0.1,0.3412470817565918
0.1,0.35033702850341797
0.1,0.22361159324645996
0.1,0.32550597190856934
0.1,0.38590335845947266
0.101,0.3002357482910156
0.098,0.2793095111846924
0.101,0.20612049102783203
0.101,0.301849365234375
0.099,0.3555734157562256
0.099,0.3385305404663086
0.1,0.3529624938964844
0.101,0.3068118095397949
0.1,0.36730265617370605
0.1,0.38394689559936523
0.1,0.3198883533477783
0.1,0.2936127185821533
0.1,0.19930696487426758
0.099,0.29869604110717773
0.102,0.3607292175292969
0.099,0.32709693908691406
0.1,0.31432247161865234
0.1,0.2049388885498047
0.1,0.3106555938720703
0.1,0.4078075885772705
0.1,0.3326892852783203
0.099,0.31914615631103516
0.101,0.24346327781677246
0.101,0.3255424499511719
0.099,0.34920215606689453
0.1,0.31346869468688965
0.1,0.31829237937927246
0.1,0.2221202850341797
0.1,0.2922346591949463
0.1,0.3616349697113037
0.1,0.3295614719390869
0.099,0.3020448684692383
0.101,0.20393657684326172
0.1,0.31110429763793945
0.1,0.3676435947418213
0.099,0.32584428787231445
0.101,0.30642223358154297
0.1,0.22763347625732422
0.1,0.3312857151031494
0.1,0.4312920570373535
0.1,0.31464076042175293
0.1,0.29180908203125
0.1,0.209028959274292
0.1,0.2929084300994873
0.099,0.35611891746520996
0.101,0.31843996047973633
0.099,0.2958106994628906
0.101,0.256314754486084
0.099,0.3192014694213867
0.101,0.38318300247192383
0.099,0.30179405212402344
0.1,0.29834437370300293
0.101,0.21596455574035645
0.099,0.2959017753601074
0.1,0.3543834686279297
0.1,0.32126688957214355
0.101,0.29022669792175293
0.099,0.24756336212158203
0.101,0.3359553813934326
0.1,0.3947632312774658
0.099,0.3211362361907959
0.101,0.2993917465209961
0.1,0.27402353286743164
0.099,0.3615882396697998
0.101,0.337249755859375
0.1,0.30884623527526855
0.099,0.25754690170288086
0.101,0.2183680534362793
0.1,0.3136637210845947
0.1,0.3760976791381836
0.1,0.3232076168060303
0.1,0.3027045726776123
0.099,0.20194029808044434
0.102,0.30816054344177246
0.099,0.3749575614929199
0.1,0.32699012756347656
0.1,0.3173682689666748
0.1,0.21492433547973633
0.1,0.3075728416442871
0.101,0.3924877643585205
0.099,0.33223748207092285
0.1,0.3116645812988281
0.1,0.24223589897155762
0.1,0.3226797580718994
0.1,0.4005284309387207
0.099,0.33379364013671875
0.1,0.2963879108428955
0.101,0.22014641761779785
0.1,0.29566168785095215
0.1,0.3539896011352539
0.099,0.3211355209350586
0.101,0.2974512577056885
0.099,0.1947929859161377
0.101,0.29944944381713867
0.1,0.3411381244659424
0.099,0.3166689872741699
0.101,0.3006422519683838
0.099,0.2178020477294922
0.101,0.30360937118530273
0.101,0.3365490436553955
0.098,0.3119993209838867
0.101,0.29048895835876465
0.099,0.20603489875793457
0.101,0.3247828483581543
0.099,0.38350772857666016
0.1,0.30759668350219727
0.1,0.2927572727203369
0.102,0.2318434715270996
0.098,0.3121170997619629
0.1,0.37123656272888184
0.1,0.29659509658813477
0.1,0.2755317687988281
0.1,0.2029125690460205
0.101,0.2846345901489258
0.1,0.3235907554626465
0.1,0.33307456970214844
0.099,0.2852635383605957
0.101,0.24856090545654297
0.1,0.35649538040161133
0.1,0.43406081199645996
0.099,0.2999143600463867
0.101,0.26497602462768555
0.1,0.25249791145324707
0.1,0.27082300186157227
0.1,0.3508646488189697
0.1,0.29924583435058594
0.1,0.2686951160430908
0.099,0.16955900192260742
0.101,0.27063584327697754
0.1,0.34716057777404785
0.101,0.30326366424560547
0.099,0.2862086296081543
0.1,0.17493867874145508
0.1,0.2837998867034912
0.1,0.3456554412841797
0.099,0.3133127689361572
0.101,0.2988717555999756
0.099,0.18118524551391602
0.1,0.2898743152618408
