Delta,Latency
0.101,21.3306941986084
0.1,21.311588764190674
0.1,21.28654193878174
0.1,21.165130615234375
0.1,21.057291507720947
0.1,20.898640155792236
0.1,20.879664659500122
0.101,20.852062702178955
0.099,20.731560707092285
0.1,20.62636375427246
0.1,20.43765902519226
0.1,20.423390865325928
0.1,20.303378582000732
0.1,20.19749402999878
0.1,20.0323703289032
0.1,20.017798900604248
0.1,19.854414463043213
0.101,19.748226404190063
0.099,19.61742329597473
0.1,19.608253955841064
0.101,19.538762092590332
0.098,19.41838550567627
0.101,19.31188654899597
0.1,19.186275243759155
0.1,19.179632663726807
0.1,19.15142250061035
0.1,19.03035306930542
0.101,18.923412561416626
0.099,18.70749568939209
0.1,18.682628631591797
0.1,18.563929557800293
0.1,18.458552598953247
0.1,18.365508556365967
0.1,18.342857599258423
0.1,18.273764610290527
0.099,18.11027479171753
0.101,18.00431227684021
0.1,17.90117359161377
0.099,17.843197107315063
0.101,17.8155460357666
0.1,17.694000959396362
0.099,17.58783459663391
0.101,17.414552927017212
0.1,17.400131702423096
0.099,17.279398918151855
0.101,17.173450708389282
0.099,16.980828523635864
0.101,16.96778678894043
0.1,16.848060369491577
0.1,16.742396116256714
0.1,16.58145236968994
0.1,16.557010889053345
0.1,16.52936100959778
0.099,16.40785241127014
0.101,16.30189037322998
0.1,16.11914086341858
0.1,16.105493307113647
0.1,15.983763933181763
0.1,15.877945184707642
0.099,15.686486959457397
0.101,15.673354148864746
0.101,15.552321672439575
0.099,15.447991609573364
0.1,15.25834345817566
0.1,15.245884656906128
0.1,15.12464427947998
0.1,15.017657279968262
0.1,14.855263948440552
0.099,14.801520109176636
0.101,14.679513692855835
0.1,14.57340121269226
0.1,14.440243005752563
0.1,14.39834976196289
0.103,14.371862888336182
0.097,14.249943971633911
0.1,14.144838571548462
0.1,13.990540027618408
0.1,13.9765305519104
0.1,13.810009479522705
0.1,13.70395565032959
0.1,13.54249906539917
0.1,13.537081718444824
0.1,13.50912618637085
0.099,13.387862920761108
0.101,13.281458139419556
0.099,13.183922290802002
0.101,13.088568925857544
0.099,13.061720848083496
0.101,12.93955397605896
0.1,12.832953929901123
0.1,12.684612274169922
0.099,12.670522928237915
0.1,12.644052028656006
0.101,12.521820545196533
0.1,12.41516923904419
0.1,12.227527141571045
0.1,12.213015794754028
0.1,12.091732501983643
0.1,11.98532772064209
0.1,11.8211829662323
0.1,11.764225721359253
0.1,11.644425392150879
0.101,11.53876781463623
0.099,11.375708103179932
0.1,11.368839502334595
0.1,11.340953588485718
0.099,11.21878457069397
0.101,11.110708236694336
